,BSpace Course Name,BSpace Course Id,QuizName,﻿QuizId,QuizAttemptNumber,QuestionId,Question,QuestionType,InputUserAnswer,Score,NetId,Comment left on User Response,AnswerKey,isQuery,Database,full_score,feedback
22,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,710",For every customer in the database list the number of orders they have placed.,Long Answer Question,"SELECT C.CustomerID
, COUNT(C.CustomerID) AS customer
, COUNT(OrderID) AS num_order
FROM Orders O 
INNER JOIN Customers C ON C.CustomerID = O.OrderID
GROUP BY C.CustomerID;",6.0,acm576,"-2pts Incorrect join condition ON C.CustomerID = O.OrderID&nbsp;&nbsp;
-2 pts for not doing a left join
SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; LEFT&nbsp;JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&nbsp;","SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&#160; &#160; &#160; &#160; &#160; &#160; LEFT JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&#160;",True,"['northwind', 'flights']",10.0,"The feedback from the TA was -2pts Incorrect join condition ON C.CustomerID = O.OrderID&nbsp;&nbsp;
-2 pts for not doing a left join
SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; LEFT&nbsp;JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&nbsp;"
23,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,709",Show the date/time of the first order ever date in the Orders table,Long Answer Question,"SELECT DATE(OrderDate) AS DATE_date, TIME(OrderDate) AS TIME_time
FROM Orders
ORDER BY OrderDate ASC;",4.0,acm576,,"SELECT MIN(OrderDate) AS earliestOrderDate
FROM Orders",True,"['northwind', 'flights']",7.5,
24,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,708","We would like to know, for each product, the associated Supplier. Show the ProductID, ProductName, and the CompanyName of the Supplier. Sort the results by ProductID.",Long Answer Question,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P 
LEFT JOIN Suppliers S ON S.SupplierID = P.ProductID
ORDER BY P.ProductID;

Left join gives all products names even those associated with Null for the company name",7.5,acm576,,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY P.ProductID",True,"['northwind', 'flights']",7.5,
25,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,707","From the Products table, we want to see the ProductID and ProductName for those products where the ProductName includes the string &quot;queso&quot;",Long Answer Question,"SELECT ProductID, ProductName
FROM Products
WHERE ProductName LIKE 'queso%';

'11','Queso Cabrales'
'12','Queso Manchego La Pastora'
",4.0,acm576,"SELECT ProductID, ProductName
FROM Products&nbsp;
WHERE ProductName LIKE '%queso%'","SELECT ProductID, ProductName
FROM Products&#160;
WHERE ProductName LIKE &#39;%queso%&#39;",True,"['northwind', 'flights']",5.0,"The feedback from the TA was SELECT ProductID, ProductName
FROM Products&nbsp;
WHERE ProductName LIKE '%queso%'"
26,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,706","We would like to see just the FirstName, LastName, and HireDate of all the employees with the title of Sales Representative who are also in the United States",Long Answer Question,"SELECT FirstName, LastName, HireDate
FROM Employees
WHERE Title = 'Sales Representative' AND Country= 'USA';

'Nancy','Davolio','2010-05-01 00:00:00'
'Janet','Leverling','2010-04-01 00:00:00'
'Margaret','Peacock','2011-05-03 00:00:00'
",5.0,acm576,,"SELECT FirstName, LastName, HireDate
FROM Employees&#160;
WHERE Title = &#39;Sales Representative&#39; AND Country = &#39;USA&#39;",True,"['northwind', 'flights']",5.0,
27,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,705","We would like to see, for each shipper, the number of orders they have handled and the number of distinct days that they came to the warehouse to pick the orders (according to the the ShippedDate column in Orders). Show the ShipperID, the CompanyName of the shipper, the number of orders the shipper handled, and the number of distinct days that each shipper came to the warehouse.",Long Answer Question,"SELECT S.CompanyName, S.ShipperID, O.OrderID, COUNT(S.ShipperID) AS cnt_OrdersHandled
FROM Orders O
	LEFT JOIN Shippers S ON S.ShipperID = O.ShipVia
GROUP BY S.CompanyName;


SELECT O.ShipVia
, COUNT(O.ShipVia) AS num_orders
FROM Orders O
JOIN Shippers S ON S.ShipperID = O.ShipVia;",4.0,acm576,"SELECT S.ShipperID, S.CompanyName
&nbsp; &nbsp; , COUNT(O.OrderID) AS orders
&nbsp; &nbsp; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&nbsp;
&nbsp; &nbsp; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID; ","SELECT S.ShipperID, S.CompanyName
&#160; &#160; , COUNT(O.OrderID) AS orders
&#160; &#160; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&#160;
&#160; &#160; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;",True,"['northwind', 'flights']",7.5,"The feedback from the TA was SELECT S.ShipperID, S.CompanyName
&nbsp; &nbsp; , COUNT(O.OrderID) AS orders
&nbsp; &nbsp; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&nbsp;
&nbsp; &nbsp; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID; "
67,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,729","Hard question. Requires use of subqueries and CASE WHEN.
We want to create groups of customers based on their total amount spent after discounts, in 2016. We will create three groups:

Low, for customers spending between 0 and 1000
Medium, for customers spending between 1000 and 5000,
High, for customers spending above 5000

The output should list the CustomerID, the CompanyName, the total amount spent before discounts, the total discount applied, and the grouping
You will need to use the results from the question &quot;Total amount spent per customer in 2016&quot; as a subquery, and then use the CASE WHEN structure to define the three groups. Do not worry about edge cases for the three groups (ie for amounts spent equal to 1000 and 5000).",Long Answer Question,"CREATE TEMPORARY TABLE 2016Spent
SELECT C.CustomerID, C.CompanyName, SUM(Quantity * UnitPrice) AS TtlPrice, SUM(Quantity * UnitPrice * Discount) AS Discount, SUM((Quantity*UnitPrice) - (Quantity*UnitPrice*Discount)) AS FinalCost, year(OrderDate)
FROM OrderDetails OD
	JOIN Orders O ON O.OrderID = OD.OrderID
    JOIN Customers C ON C.CustomerID = O.CustomerID
WHERE year(OrderDate) = 2016
GROUP BY OD.OrderID
ORDER BY C.CustomerID;

SELECT DISTINCT CustomerID, CompanyName, SUM(TtlPrice) AS TTlPrice, SUM(Discount) AS TTlDiscount, SUM(FinalCost) AS TTlFinalCost,
CASE 
	WHEN SUM(FinalCost) BETWEEN 0 AND 1000 THEN ""Low""
    WHEN SUM(FinalCost) BETWEEN 1000 AND 5000 THEN ""Medium""
    WHEN SUM(FinalCost) >5000 THEN ""High""
END AS CustomerSpend
FROM 2016Spent
GROUP BY CustomerID, CompanyName
ORDER BY CustomerSpend;",10.0,al4026,,"WITH total_spent AS (
SELECT C.CustomerID, C.CompanyName
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM&#160;
&#160; &#160; Customers C&#160;
&#160; &#160; LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
&#160; &#160; LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID &#160;
GROUP BY C.CustomerID
)
SELECT T.*,&#160;
&#160; &#160; CASE&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 0 AND 1000 THEN &#39;Low&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 1000 AND 5000 THEN &#39;Medium&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount &gt;= 5000 THEN &#39;High&#39;&#160;
&#160; &#160; END AS TargetGroup
FROM total_spent T
ORDER BY T.total_price-T.total_discount",True,"['northwind', 'flights']",10.0,
69,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,713","For each order, show the customerID who placed the order, and list the number of products in the order, the total units in the order (each order may contain multiple units of a product as reported in the &quot;Quantity&quot; field or OrderDetails), and the total order price for all the products (using the Quantity and UnitPrice fields in the OrderDetails table; ignore the Discount field).&#160;
Sort the results by decreasing total price and display only orders where the total price is above 10,000.",Long Answer Question,"SELECT O.OrderID, CustomerID, COUNT(ProductID) AS NumProducts, SUM(Quantity) AS TtlUnits, SUM(UnitPrice * Quantity) AS OrderPrice
FROM Orders O
	JOIN OrderDetails OD ON OD.OrderID = O.OrderID
GROUP BY O.OrderID
HAVING OrderPrice >10000
ORDER BY OrderPrice DESC;",10.0,al4026,,"SELECT O.OrderID, O.CustomerID
&#160; &#160; , SUM(D.Quantity * D.UnitPrice) AS total_price
&#160; &#160; , COUNT(DISTINCT D.ProductID) AS num_products
&#160; &#160; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC",True,"['northwind', 'flights']",10.0,
70,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,711","We want to identify the ship countries with the highest average freight charges. Return the top-three ship countries with the highest average freight overall, in descending order by average freight. You only need the Orders table.",Long Answer Question,"SELECT ShipCountry, AVG(Freight) AS avgfreight
FROM Orders
GROUP BY ShipCountry
ORDER BY avgfreight DESC
LIMIT 3;",7.5,al4026,,"SELECT ShipCountry, ROUND(AVG(Freight),2) AS AvgFreight
FROM &#160;Orders
GROUP BY ShipCountry
ORDER BY AvgFreight DESC
LIMIT 3",True,"['northwind', 'flights']",7.5,
71,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,710",For every customer in the database list the number of orders they have placed.,Long Answer Question,"SELECT C.CustomerID, COUNT(OrderID) AS NumOrders
FROM Customers C
	JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID
ORDER BY NumOrders DESC;",8.0,al4026,"SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; LEFT&nbsp;JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID","SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&#160; &#160; &#160; &#160; &#160; &#160; LEFT JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&#160;",True,"['northwind', 'flights']",10.0,"The feedback from the TA was SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; LEFT&nbsp;JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID"
72,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,709",Show the date/time of the first order ever date in the Orders table,Long Answer Question,"SELECT Min(OrderDate)
FROM Orders;",7.5,al4026,,"SELECT MIN(OrderDate) AS earliestOrderDate
FROM Orders",True,"['northwind', 'flights']",7.5,
73,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,708","We would like to know, for each product, the associated Supplier. Show the ProductID, ProductName, and the CompanyName of the Supplier. Sort the results by ProductID.",Long Answer Question,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P
	JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY ProductId;",7.5,al4026,,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY P.ProductID",True,"['northwind', 'flights']",7.5,
74,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,707","From the Products table, we want to see the ProductID and ProductName for those products where the ProductName includes the string &quot;queso&quot;",Long Answer Question,"SELECT ProductID, ProductName
FROM Products
WHERE ProductName LIKE ""%queso%"";",5.0,al4026,,"SELECT ProductID, ProductName
FROM Products&#160;
WHERE ProductName LIKE &#39;%queso%&#39;",True,"['northwind', 'flights']",5.0,
75,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,706","We would like to see just the FirstName, LastName, and HireDate of all the employees with the title of Sales Representative who are also in the United States",Long Answer Question,"SELECT FirstName, LastName, Title, HireDate, Country
FROM Employees
WHERE Title = ""Sales Representative"" AND COUNTRY = ""USA"";

(We could also leave off Title & Country given the prompt, but it's good practice to check against the requirements)",5.0,al4026,,"SELECT FirstName, LastName, HireDate
FROM Employees&#160;
WHERE Title = &#39;Sales Representative&#39; AND Country = &#39;USA&#39;",True,"['northwind', 'flights']",5.0,
76,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,705","We would like to see, for each shipper, the number of orders they have handled and the number of distinct days that they came to the warehouse to pick the orders (according to the the ShippedDate column in Orders). Show the ShipperID, the CompanyName of the shipper, the number of orders the shipper handled, and the number of distinct days that each shipper came to the warehouse.",Long Answer Question,"SELECT S.ShipperID, S.CompanyName, COUNT(OrderID) AS OrdersHandled, COUNT(DISTINCT ShippedDate) AS distinct_days
FROM Shippers S
	JOIN Orders O ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID
ORDER BY S.ShipperID;",7.5,al4026,,"SELECT S.ShipperID, S.CompanyName
&#160; &#160; , COUNT(O.OrderID) AS orders
&#160; &#160; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&#160;
&#160; &#160; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;",True,"['northwind', 'flights']",7.5,
119,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,729","Hard question. Requires use of subqueries and CASE WHEN.
We want to create groups of customers based on their total amount spent after discounts, in 2016. We will create three groups:

Low, for customers spending between 0 and 1000
Medium, for customers spending between 1000 and 5000,
High, for customers spending above 5000

The output should list the CustomerID, the CompanyName, the total amount spent before discounts, the total discount applied, and the grouping
You will need to use the results from the question &quot;Total amount spent per customer in 2016&quot; as a subquery, and then use the CASE WHEN structure to define the three groups. Do not worry about edge cases for the three groups (ie for amounts spent equal to 1000 and 5000).",Long Answer Question,"DROP TABLE IF EXISTS customer_group
create temporary table customer_group AS
select C.CustomerID, C.CompanyName, O.OrderDate, sum(OD.UnitPrice*OD.Quantity) as Total_Order_Price, sum(OD.UnitPrice*OD.Quantity*OD.Discount) as Total_Discount
from Orders O
left join Customers C on O.CustomerID = C.CustomerID
left join OrderDetails OD on O.OrderID = OD.OrderID
group by C.CustomerID, O.OrderDate
having O.OrderDate >= 2016-01-01 and O.OrderDate < 2017-01-01
order by C.CustomerID",5.0,amm9810,-5: Code didn't generate the required result,"WITH total_spent AS (
SELECT C.CustomerID, C.CompanyName
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM&#160;
&#160; &#160; Customers C&#160;
&#160; &#160; LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
&#160; &#160; LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID &#160;
GROUP BY C.CustomerID
)
SELECT T.*,&#160;
&#160; &#160; CASE&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 0 AND 1000 THEN &#39;Low&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 1000 AND 5000 THEN &#39;Medium&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount &gt;= 5000 THEN &#39;High&#39;&#160;
&#160; &#160; END AS TargetGroup
FROM total_spent T
ORDER BY T.total_price-T.total_discount",True,"['northwind', 'flights']",10.0,The feedback from the TA was -5: Code didn't generate the required result
